date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:36	109/109	---M-Z	200	added ('OK')	text/plain	etag:%222506-1773653612;gz%22	https://themegenix.net/robots.txt		(from )
20:59:36	81713/81713	---M-Z	200	added ('OK')	text/html	etag:%2213f31-66a4f50b-a149562f18f36f4c;gz%22	https://themegenix.net/html/suxnix/	T:/Orther/suxnixx123/themegenix.net/html/suxnix/index.html	(from )
20:59:36	4289/4289	---M--	200	added ('OK')	image/png	etag:%2210c1-66a4f4aa-59a18c8c60773780;;;%22	https://themegenix.net/html/suxnix/assets/img/favicon.png	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/img/favicon.png	(from https://themegenix.net/html/suxnix/)
20:59:37	164940/164940	---M-Z	200	added ('OK')	text/css	etag:%222844c-66a4f4a8-24c9d1f45410d0a9;gz%22	https://themegenix.net/html/suxnix/assets/css/bootstrap.min.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/bootstrap.min.css	(from https://themegenix.net/html/suxnix/)
20:59:37	72778/72778	---M-Z	200	added ('OK')	text/css	etag:%2211c4a-66a4f4a8-3fd67961aa15fa5f;gz%22	https://themegenix.net/html/suxnix/assets/css/animate.min.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/animate.min.css	(from https://themegenix.net/html/suxnix/)
20:59:37	7007/7007	---M-Z	200	added ('OK')	text/css	etag:%221b5f-66a4f4a8-6ebcb9dbc697eff6;gz%22	https://themegenix.net/html/suxnix/assets/css/magnific-popup.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/magnific-popup.css	(from https://themegenix.net/html/suxnix/)
20:59:38	59262/59262	---M-Z	200	added ('OK')	text/css	etag:%22e77e-66a4f4a8-3852addf0e5ec4a0;gz%22	https://themegenix.net/html/suxnix/assets/css/fontawesome-all.min.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/fontawesome-all.min.css	(from https://themegenix.net/html/suxnix/)
20:59:38	2753/2753	---M-Z	200	added ('OK')	text/css	etag:%22ac1-66a4f4a8-f7facd651546c23d;gz%22	https://themegenix.net/html/suxnix/assets/css/flaticon.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/flaticon.css	(from https://themegenix.net/html/suxnix/)
20:59:39	16255/16255	---M-Z	200	added ('OK')	text/css	etag:%223f7f-66a4f4a8-16d2a12f026dd58a;gz%22	https://themegenix.net/html/suxnix/assets/css/jquery-ui.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/jquery-ui.css	(from https://themegenix.net/html/suxnix/)
20:59:39	3620/3620	---M-Z	200	added ('OK')	text/css	etag:%22e24-66a4f4a8-8143bf784320418c;gz%22	https://themegenix.net/html/suxnix/assets/css/odometer.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/odometer.css	(from https://themegenix.net/html/suxnix/)
20:59:39	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-66a4f4a9-cee445aa16e77779;gz%22	https://themegenix.net/html/suxnix/assets/css/slick.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/slick.css	(from https://themegenix.net/html/suxnix/)
20:59:40	8671/8671	---M-Z	200	added ('OK')	text/css	etag:%2221df-66a4f4a8-569f10c5ad60da15;gz%22	https://themegenix.net/html/suxnix/assets/css/default.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/default.css	(from https://themegenix.net/html/suxnix/)
20:59:40	166104/166104	---M-Z	200	added ('OK')	text/css	etag:%22288d8-66a51373-ef6ae89b5f803913;gz%22	https://themegenix.net/html/suxnix/assets/css/style.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/style.css	(from https://themegenix.net/html/suxnix/)
20:59:40	31875/31875	---M-Z	200	added ('OK')	text/css	etag:%227c83-66a4f4a8-b5c93aef6bec4412;gz%22	https://themegenix.net/html/suxnix/assets/css/responsive.css	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/css/responsive.css	(from https://themegenix.net/html/suxnix/)
20:59:41	81713/81713	---M-Z	200	added ('OK')	text/html	etag:%2213f31-66a4f50b-a149562f18f36f4c;gz%22	https://themegenix.net/html/suxnix/index.html	T:/Orther/suxnixx123/themegenix.net/html/suxnix/index-2.html	(from https://themegenix.net/html/suxnix/)
20:59:41	6498/6498	---M--	200	added ('OK')	image/png	etag:%221962-66a4f4ae-c25c2ed342525f29;;;%22	https://themegenix.net/html/suxnix/assets/img/logo/logo.png	T:/Orther/suxnixx123/themegenix.net/html/suxnix/assets/img/logo/logo.png	(from https://themegenix.net/html/suxnix/)
20:59:41	66231/66231	---M-Z	200	added ('OK')	text/html	etag:%22102b7-66a4f4a8-a5bf0ad1ec5de0cf;gz%22	https://themegenix.net/html/suxnix/index-2.html	T:/Orther/suxnixx123/themegenix.net/html/suxnix/index-3.html	(from https://themegenix.net/html/suxnix/)
20:59:41	87157/87157	---M-Z	200	added ('OK')	text/html	etag:%2215475-66a4f622-67b5b8d68810361;gz%22	https://themegenix.net/html/suxnix/index-3.html	T:/Orther/suxnixx123/themegenix.net/html/suxnix/index-4.html	(from https://themegenix.net/html/suxnix/)
20:59:42	45299/45299	---M-Z	200	added ('OK')	text/html	etag:%22b0f3-66a4f4a8-8f9b6eaebe4b5ceb;gz%22	https://themegenix.net/html/suxnix/shop.html	T:/Orther/suxnixx123/themegenix.net/html/suxnix/shop.html	(from https://themegenix.net/html/suxnix/)
20:59:42	55458/55458	---M-Z	200	added ('OK')	text/html	etag:%22d8a2-66a4f4a8-50e5103d2407f4b6;gz%22	https://themegenix.net/html/suxnix/shop-details.html	T:/Orther/suxnixx123/themegenix.net/html/suxnix/shop-details.html	(from https://themegenix.net/html/suxnix/)
20:59:42	26744/26744	---M-Z	200	added ('OK')	text/html	etag:%226878-66a4f4a7-26397ed16d0ac05b;gz%22	https://themegenix.net/html/suxnix/cart.html	T:/Orther/suxnixx123/themegenix.net/html/suxnix/cart.html	(from https://themegenix.net/html/suxnix/)
